ID	表示名	初登場	終盤出現	役割	画像ファイル
cleaner	清掃機	1F	5F	基本近接。低火力だが数で圧をかける	cleaner.png
collectorDrone	回収ドローン	2F	8F	アイテムを拾って逃げる想定。現状は高速移動敵	collector_drone.png
guardDrone	警備ドローン	3F	18F	遠距離射撃。射線管理を要求	guard_drone.png
cutter	切断機	4F	12F	高火力近接。隣接を避けたい敵	cutter.png
suctionUnit	吸引機	5F	13F	引き寄せ想定。現状は近接敵	suction_unit.png
grinder	研磨機	4F	14F	装備劣化。攻撃時に武器を削る	grinder.png
welder	溶接機	6F	15F	火花・燃焼床想定。現状は短射程射撃	welder.png
compressor	圧縮機	6F	16F	ノックバック・壁衝突想定。現状は鈍足高火力	compressor.png
boomCell	自爆セル	7F	17F	接近後に自爆。敵も巻き込む	boomcell.png
repairBit	修復ビット	8F	30F	敵回復。優先処理対象	repairbit.png
supplyPod	補給ポッド	8F	28F	敵強化想定。現状は弱回復支援	supply_pod.png
carrier	搬送機	9F	20F	敵や主人公の位置操作想定。現状は高速敵	carrier.png
dumper	投棄機	10F	21F	廃材投擲・障害物生成想定。現状は射撃	dumper.png
shieldDeployer	展開シールド	10F	30F	周囲バリア想定。現状は支援敵	shield_deployer.png
alarmBeacon	警報ビーコン	11F	28F	増援呼び想定。現状は低火力射撃	alarm_beacon.png
drillRig	掘削機	12F	23F	壁破壊・直線突進想定。現状は鈍足高火力	drill_rig.png
scoutEye	索敵アイ	12F	30F	敵誘導・索敵支援想定。現状は高速小型	scout_eye.png
magnetUnit	磁力機	13F	27F	金属装備干渉想定。現状は近接敵	magnet_unit.png
mistSprayer	毒霧散布機	14F	30F	範囲状態異常想定。現状は短射程射撃	mist_sprayer.png
cooler	冷却機	15F	30F	鈍足・凍結想定。現状は鈍足耐久敵	cooler.png
camouflageUnit	光学迷彩機	16F	30F	見えにくい奇襲。現状は転移奇襲	camouflage_unit.png
splitterBit	分裂ビット	17F	30F	増殖想定。現状は高速小型	splitter_bit.png
sniperTurret	狙撃砲台	18F	30F	長射程固定敵想定。現状は長射程射撃	sniper_turret.png
dismantler	解体重機	20F	30F	大型近接強敵。鈍足・高耐久・高火力	dismantler.png
coreDefender	中枢防衛機	25F	30F	終盤防衛機。射撃と支援混在の中ボス枠	core_defender.png
warden	廃棄層の番人	30F	30F	B30F固定ラスボス	warden.png
